Brand_Name,Shoe Descripition,Discounted Price,Actual_price
HRX by Hrithik Roshan,Unisex Lace-Ups Sneakers,1087,3399
Campus,Men Lace-Up Sneakers,999,2499
Layasa,Men Colourblocked Sneakers,659,1999
ASIAN,Men BOSTON Lace-up Sneakers,679,1499
U.S. Polo Assn.,Men Textured Sneakers,2034,3699
NEEMANS,Unisex Woven Design Sneakers,1499,4299
Campus,Men PU Sneakers,999,3299
Metro,Men Leather Loafers,1618,2490
Jack & Jones,Men Round Toe Sneakers,1799,2999
NEEMANS,Woven Design Slip-On Sneakers,1649,2699
U.S. Polo Assn.,Men Classic Sneakers,1695,3199
NEEMANS,Men Textured Dapper Loafers,1599,3299
Atom,Men Spring Edge 2 Sneakers,1570,2695
Campus,Men Colourblocked PU Sneakers,1483,2899
NEEMANS,Men Round Toe Sneakers,999,2099
Mochi,Men Leather Loafers,1618,2490
Vellinto,Men Textured Mojaris,870,1999
GULASS WICK,Men Casual Shoes,659,1999
Jack & Jones,Men Textured Sneakers,1649,2999
Field Care,Men Lace-Ups Sneakers,1436,3499
Ducati,Men Perforated Sneakers,1053,3399
Mochi,Men Leather Slip On Loafers,1245,2490
Cantabil,Men Colourblocked PU Sneakers,1519,3799
House of Pataudi,Men Embroidered Mojaris,1949,3899
Campus,Men Perforations Sneakers,1127,1799
Styli,Men Contrast Sole Sneakers,689,999
ASIAN,Men Lace-Ups Sneakers,734,1499
Ducati,Men Everyday Sneakers,1022,3299
Styli,Men Comfort Insole Espadrilles,839,999
ASIAN,Men Lace-Ups Sneakers,734,1499
NEEMANS,Unisex Comfort Insole Sneakers,1199,3999
Campus,Men Mid-Top Sneakers,999,2999
Bata,Men Textured Round-Toe Loafers,692,1099
Puma,Men C-Block Sneakers,1574,4499
Campus,Men Lace-Ups Sneakers,1305,2499
GULASS WICK,Men Casual Shoes,659,1999
House of Pataudi,Men Slip-On Loafers,1250,3049
Lotto,Men Impulso Citta Sneaker,1795,4499
HRX by Hrithik Roshan,Men Colourblocked Sneakers,999,4299
Bata,Men Round Toe Formal Loafers,1039,1599
Campus,Men Colourblocked PU Sneakers,999,3099
ASIAN,Men Colourblocked Sneakers,729,1499
GULASS WICK,Men Casual Shoes,659,1999
Roadster,Textured Round Toe Espadrille,797,4195
Metro,Men Leather Loafers,1195,2490
ASIAN,Men Memory Foam Sneakers,699,1499
NEEMANS,Woven Design Slip-On Sneakers,1649,2699
Campus,Men Colourblocked PU Sneakers,1186,2899
Ducati,Men Mid-Top Striped Sneakers,1159,3999
Metro,Men Leather Loafers,1479,2690
Provogue,Men Solid Brogues,999,3999
Roadster,Men Solid Casual Sneakers,998,3795
ZAYDN,Men Colourblocked Sneakers,1405,2999
Duke,Men Slip-On Loafers,716,1119
HRX by Hrithik Roshan,Men Round Toe Sneakers,999,3999
Campus,Men Lace-Ups Sneakers,1199,2499
