Brand_Name,Shoe Descripition,Discounted Price,Actual_price
Styli,Men Comfort Insole Espadrilles,839,999
ASIAN,Men Memory Foam Sneakers,699,1499
Metro,Men Leather Loafers,1195,2490
Campus,Men Mid-Top Sneakers,999,2999
Campus,Men Colourblocked PU Sneakers,1186,2899
Provogue,Men Solid Brogues,999,3999
Campus,Men Lace-Ups Sneakers,1305,2499
Ducati,Men Mid-Top Striped Sneakers,1159,3999
Duke,Men Slip-On Loafers,716,1119
Campus,Men Colourblocked PU Sneakers,999,3099
HRX by Hrithik Roshan,Men Round Toe Sneakers,999,3999
ASIAN,Men Colourblocked Sneakers,824,1499
Aristitch,Men Woven Design Mojaris,1149,1249
Campus,Men Colourblocked Sneakers,1899,2499
Red Tape,Men Textured Sneakers,1637,6299
Aristitch,Men Woven Design Mojaris,1149,1249
Bata,Men Round Toe Loafers,714,1099
ASIAN,Men Colourblocked Sneakers,749,1499
Roadster,Textured Round Toe Espadrille,797,4195
ASIAN,Men Perforations Sneakers,679,1499
GULASS WICK,Men Casual Shoes,659,1999
NEEMANS,Woven Design Slip-On Sneakers,1649,2699
Flying Machine,Men Sneakers,1535,3199
NEEMANS,Men Slip-On Sneakers,1349,2999
Metro,Men Leather Loafers,1479,2690
ASIAN,,679,1499
ASIAN,Men Colourblocked Sneakers,699,1499
ZAYDN,Men Colourblocked Sneakers,1405,2999
NEEMANS,Men Slip On Loafers,1599,3299
Ducati,Men Everyday Sneakers,1087,3399
Campus,Men Lace-Ups Sneakers,1199,2499
House of Pataudi,Men Casual Slip On Loafers,1262,3079
NEEMANS,Unisex Comfort Insole Sneakers,1199,3999
NEEMANS,Men Penny Driving Shoes,1799,3499
ASIAN,Men Tarzan-05 Sneakers,659,1499
Sparx,Slip-On Shoes,909,1299
RUN SEVEN,Men PU Sneakers,1302,3599
FUNNY FIRE,Men Sneakers,831,1999
FCUK,Men Everyday Sneakers,1367,3599
ZAYDN,Men Lace-Ups Casual Sneaker,1405,2999
ASIAN,Men Lightweight Sneakers,719,1499
Puma,Men C-Block Sneakers,1574,4499
BOLDFIT,Men Slip-On Sneakers,799,1999
NEEMANS,Unisex Woven Design Sneakers,1499,4299
GULASS WICK,Men Casual Shoes,659,1999
Roadster,Men PU Beige Sneakers,719,3999
HRX by Hrithik Roshan,Men Sneakers,961,3699
Aeropostale,Men Perforated Detail Sneakers,959,2999
Styli,Men Textured PU Sneakers,907,1699
Puma,Men Colourblocked Sneakers,1574,4499
Roadster,Men Lightweight Sneakers,627,2992
JQR,Men RUMBA Sneakers,824,1499
GULASS WICK,Men Casual Shoes,659,1999
